HSHD_NUM,PURCHASE_,SPEND,DEPARTMENT,MONTH,YEAR
4711,2018-01-03,1.99,FOOD,1,2018
4711,2018-01-10,5.48,FOOD,1,2018
4711,2018-01-31,3.99,FOOD,1,2018
4711,2018-01-10,2.49,FOOD,1,2018
4711,2018-01-31,1.99,FOOD,1,2018
4711,2018-01-31,1.78,FOOD,1,2018
4711,2018-01-15,1.99,FOOD,1,2018
4711,2018-01-31,1.99,FOOD,1,2018
4711,2018-01-31,6.77,FOOD,1,2018
4711,2018-01-31,8.78,FOOD,1,2018
4711,2018-01-17,9.63,FOOD,1,2018
4711,2018-01-31,1.79,FOOD,1,2018
4711,2018-01-03,1.69,FOOD,1,2018
4711,2018-01-17,3.99,FOOD,1,2018
4711,2018-01-03,5.98,FOOD,1,2018
4711,2018-01-31,3.99,FOOD,1,2018
4711,2018-01-15,2.59,FOOD,1,2018
4711,2018-01-31,2.59,FOOD,1,2018
4711,2018-01-10,4.54,NON-FOOD,1,2018
4711,2018-01-15,5.98,FOOD,1,2018
4711,2018-01-10,3.99,FOOD,1,2018
4711,2018-01-31,1.78,FOOD,1,2018
4711,2018-01-31,.88,FOOD,1,2018
4711,2018-01-10,4,FOOD,1,2018
4711,2018-01-03,4,FOOD,1,2018
4711,2018-01-15,4.99,FOOD,1,2018
4711,2018-01-10,4.99,FOOD,1,2018
4711,2018-01-31,4.99,FOOD,1,2018
4711,2018-01-31,1.88,FOOD,1,2018
4711,2018-01-03,1.67,FOOD,1,2018
4711,2018-01-31,4.99,FOOD,1,2018
4711,2018-01-03,2.59,FOOD,1,2018
4711,2018-01-03,6,FOOD,1,2018
4711,2018-01-17,7.9,FOOD,1,2018
4711,2018-01-03,1.99,FOOD,1,2018
4711,2018-01-03,1.79,FOOD,1,2018
4711,2018-01-10,1,FOOD,1,2018
4711,2018-01-10,1.99,FOOD,1,2018
4711,2018-01-17,3.98,FOOD,1,2018
4711,2018-01-03,1.98,FOOD,1,2018
4711,2018-01-31,3.59,FOOD,1,2018
4711,2018-01-10,7.52,FOOD,1,2018
4711,2018-01-31,3.99,NON-FOOD,1,2018
4711,2018-01-31,9.98,NON-FOOD,1,2018
